well,chem,year,value_ugL,detect
MW-01,Xylene,2018,5.0,nondetect
MW-02,Xylene,2018,5.0,nondetect
10272,"1,2,4-Trichlorobenzene",2018,9.4,nondetect
10278,"1,2,4-Trichlorobenzene",2018,9.4,nondetect
MW-01,"1,2,4-Trichlorobenzene",2018,9.4,nondetect
MW-02,"1,2,4-Trichlorobenzene",2018,9.4,nondetect
10272,"1,2-Dichlorobenzene",2018,9.4,nondetect
10278,"1,2-Dichlorobenzene",2018,9.4,nondetect
MW-01,"1,2-Dichlorobenzene",2018,9.4,nondetect
MW-02,"1,2-Dichlorobenzene",2018,9.4,nondetect
10272,"1,4-Dichlorobenzene",2018,9.4,nondetect
10278,"1,4-Dichlorobenzene",2018,9.4,nondetect
MW-01,"1,4-Dichlorobenzene",2018,9.4,nondetect
MW-02,"1,4-Dichlorobenzene",2018,9.4,nondetect
